"neighborhood","violations","per_capita_income"
"Albany Park",56,21323
"Archer Heights",17,16134
"Armour Square",10,16148
"Ashburn",30,23482
"Auburn Gresham",67,15528
"Austin",127,15957
"Avalon Park",6,24454
"Avondale",90,20039
"Belmont Cragin",54,15461
"Beverly",46,39523
"Bridgeport",62,22694
"Brighton Park",43,13089
"Burnside",10,12515
"Calumet Heights",6,28887
"Chatham",35,18881
"Chicago Lawn",31,13231
"Clearing",8,25113
"Douglas",4,23791
"Dunning",13,26282
"East Garfield Park",25,12961
"East Side",7,17104
"Edgewater",88,33385
"Edison Park",14,40959
"Englewood",65,11888
"Forest Glen",12,44164
"Fuller Park",7,10432
"Gage Park",19,12171
"Garfield Ridge",17,26353
"Grand Boulevard",23,23472
"Greater Grand Crossing",58,17285
"Hegewisch",6,22677
"Hermosa",16,15089
"Humboldt Park",62,13781
"Hyde Park",9,39056
"Irving Park",149,27249
"Jefferson Park",38,27751
"Kenwood",13,35911
"Lake View",157,60058
"Lincoln Park",231,71551
"Lincoln Square",89,37524
"Logan Square",172,31908
"Loop",25,65526
"Lower West Side",125,16444
"McKinley Park",55,16954
"Montclare",10,22014
"Morgan Park",15,27149
"Mount Greenwood",8,34381
"Near North Side",40,88669
"Near South Side",20,59077
"Near West Side",145,44689
"New City",74,12765
"North Center",167,57123
"North Lawndale",42,12034
"North Park",22,26576
"Norwood Park",37,32875
"O'Hare",1,25828
"Oakland",3,19252
"Portage Park",57,24336
"Pullman",14,20588
"Riverdale",8,8201
"Rogers Park",30,23939
"Roseland",49,17949
"South Chicago",26,16579
"South Deering",28,14685
"South Lawndale",75,10402
"South Shore",30,19398
"Uptown",72,35787
"Washington Heights",40,19713
"Washington Park",11,13785
"West Elsdon",2,15754
"West Englewood",63,11317
"West Garfield Park",49,10934
"West Lawn",11,16907
"West Pullman",41,16563
"West Ridge",53,23040
"West Town",262,43198
"Woodlawn",21,18672
